Phi[deg],Theta[deg],dB(DirTotal)
34,2,2.25216
36,2,2.25191
38,2,2.25165
40,2,2.25138
42,2,2.25111
44,2,2.25084
46,2,2.25056
48,2,2.25028
50,2,2.25001
52,2,2.24973
54,2,2.24946
56,2,2.24919
58,2,2.24893
60,2,2.24868
62,2,2.24844
64,2,2.2482
66,2,2.24798
68,2,2.24777
70,2,2.24757
72,2,2.24739
74,2,2.24722
76,2,2.24707
78,2,2.24693
80,2,2.24681
82,2,2.24671
84,2,2.24662
86,2,2.24656
88,2,2.24651
90,2,2.24649
92,2,2.24648
94,2,2.24649
96,2,2.24652
98,2,2.24656
100,2,2.24663
102,2,2.24671
104,2,2.24681
106,2,2.24693
108,2,2.24707
110,2,2.24721
112,2,2.24738
114,2,2.24756
116,2,2.24775
118,2,2.24795
120,2,2.24816
122,2,2.24838
124,2,2.24861
126,2,2.24885
128,2,2.24909
130,2,2.24933
132,2,2.24958
134,2,2.24983
136,2,2.25008
138,2,2.25033
140,2,2.25058
142,2,2.25082
144,2,2.25106
146,2,2.25129
148,2,2.25152
150,2,2.25173
152,2,2.25194
154,2,2.25213
156,2,2.25231
158,2,2.25248
160,2,2.25263
162,2,2.25277
164,2,2.25289
166,2,2.253
168,2,2.25308
170,2,2.25315
172,2,2.2532
174,2,2.25324
176,2,2.25325
178,2,2.25324
180,2,2.25321
-180,4,2.2515
-178,4,2.25139
-176,4,2.2512
-174,4,2.25093
-172,4,2.25058
-170,4,2.25015
-168,4,2.24966
-166,4,2.24909
-164,4,2.24845
-162,4,2.24774
-160,4,2.24698
-158,4,2.24615
-156,4,2.24527
-154,4,2.24433
-152,4,2.24335
-150,4,2.24232
-148,4,2.24126
-146,4,2.24016
-144,4,2.23904
-142,4,2.23789
-140,4,2.23673
-138,4,2.23555
-136,4,2.23437
-134,4,2.23319
-132,4,2.23201
-130,4,2.23085
-128,4,2.2297
-126,4,2.22857
-124,4,2.22747
-122,4,2.22641
-120,4,2.22538
-118,4,2.22439
-116,4,2.22346
-114,4,2.22257
-112,4,2.22175
-110,4,2.22098
-108,4,2.22028
-106,4,2.21964
-104,4,2.21908
-102,4,2.21859
-100,4,2.21818
-98,4,2.21785
-96,4,2.2176
-94,4,2.21742
-92,4,2.21734
-90,4,2.21733
-88,4,2.21741
-86,4,2.21757
-84,4,2.21781
-82,4,2.21814
-80,4,2.21854
-78,4,2.21902
-76,4,2.21958
-74,4,2.22021
-72,4,2.22092
-70,4,2.22169
-68,4,2.22252
-66,4,2.22342
-64,4,2.22437
-62,4,2.22537
-60,4,2.22641
-58,4,2.2275
-56,4,2.22863
-54,4,2.22979
-52,4,2.23097
-50,4,2.23218
-48,4,2.2334
-46,4,2.23463
-44,4,2.23586
-42,4,2.23709
-40,4,2.23831
-38,4,2.23952
-36,4,2.24071
-34,4,2.24188
-32,4,2.24302
-30,4,2.24412
-28,4,2.24518
-26,4,2.24619
-24,4,2.24716
-22,4,2.24807
-20,4,2.24892
-18,4,2.24972
-16,4,2.25044
-14,4,2.2511
-12,4,2.25168
-10,4,2.25219
-8,4,2.25263
-6,4,2.25298
-4,4,2.25326
-2,4,2.25346
0,4,2.25357
2,4,2.2536
4,4,2.25355
6,4,2.25342
8,4,2.25321
10,4,2.25291
12,4,2.25255
14,4,2.2521
16,4,2.25158
18,4,2.251
20,4,2.25034
22,4,2.24962
24,4,2.24884
26,4,2.24801
