Phi[deg],Theta[deg],rETotal[mV]
36,2,6137.26
38,2,6134.06
40,2,6130.8
42,2,6127.5
44,2,6124.18
46,2,6120.85
48,2,6117.53
50,2,6114.24
52,2,6110.98
54,2,6107.78
56,2,6104.65
58,2,6101.61
60,2,6098.66
62,2,6095.84
64,2,6093.14
66,2,6090.58
68,2,6088.18
70,2,6085.95
72,2,6083.89
74,2,6082.02
76,2,6080.34
78,2,6078.87
80,2,6077.6
82,2,6076.56
84,2,6075.73
86,2,6075.13
88,2,6074.76
90,2,6074.62
92,2,6074.71
94,2,6075.03
96,2,6075.57
98,2,6076.34
100,2,6077.34
102,2,6078.55
104,2,6079.97
106,2,6081.59
108,2,6083.41
110,2,6085.42
112,2,6087.6
114,2,6089.95
116,2,6092.46
118,2,6095.11
120,2,6097.88
122,2,6100.77
124,2,6103.77
126,2,6106.85
128,2,6110
130,2,6113.21
132,2,6116.46
134,2,6119.74
136,2,6123.02
138,2,6126.3
140,2,6129.55
142,2,6132.76
144,2,6135.92
146,2,6139.01
148,2,6142.01
150,2,6144.91
152,2,6147.7
154,2,6150.36
156,2,6152.88
158,2,6155.24
160,2,6157.43
162,2,6159.45
164,2,6161.29
166,2,6162.93
168,2,6164.36
170,2,6165.58
172,2,6166.59
174,2,6167.37
176,2,6167.93
178,2,6168.26
180,2,6168.36
-180,4,6166.87
-178,4,6166.37
-176,4,6164.94
-174,4,6162.61
-172,4,6159.37
-170,4,6155.24
-168,4,6150.25
-166,4,6144.42
-164,4,6137.78
-162,4,6130.35
-160,4,6122.19
-158,4,6113.33
-156,4,6103.81
-154,4,6093.68
-152,4,6082.99
-150,4,6071.8
-148,4,6060.15
-146,4,6048.12
-144,4,6035.74
-142,4,6023.1
-140,4,6010.25
-138,4,5997.25
-136,4,5984.16
-134,4,5971.06
-132,4,5958
-130,4,5945.05
-128,4,5932.26
-126,4,5919.72
-124,4,5907.46
-122,4,5895.56
-120,4,5884.07
-118,4,5873.04
-116,4,5862.53
-114,4,5852.6
-112,4,5843.27
-110,4,5834.61
-108,4,5826.66
-106,4,5819.44
-104,4,5813
-102,4,5807.36
-100,4,5802.56
-98,4,5798.61
-96,4,5795.54
-94,4,5793.36
-92,4,5792.07
-90,4,5791.7
-88,4,5792.23
-86,4,5793.67
-84,4,5796
-82,4,5799.23
-80,4,5803.33
-78,4,5808.29
-76,4,5814.07
-74,4,5820.66
-72,4,5828.02
-70,4,5836.13
-68,4,5844.93
-66,4,5854.39
-64,4,5864.46
-62,4,5875.1
-60,4,5886.26
-58,4,5897.87
-56,4,5909.9
-54,4,5922.27
-52,4,5934.93
-50,4,5947.82
-48,4,5960.87
-46,4,5974.03
-44,4,5987.23
-42,4,6000.4
-40,4,6013.48
-38,4,6026.42
-36,4,6039.13
-34,4,6051.56
-32,4,6063.66
-30,4,6075.36
-28,4,6086.6
-26,4,6097.33
-24,4,6107.49
-22,4,6117.04
-20,4,6125.93
-18,4,6134.1
-16,4,6141.54
-14,4,6148.18
-12,4,6154.01
-10,4,6158.99
-8,4,6163.11
-6,4,6166.33
-4,4,6168.64
-2,4,6170.03
0,4,6170.49
2,4,6170.03
4,4,6168.64
6,4,6166.33
8,4,6163.12
10,4,6159.01
12,4,6154.03
14,4,6148.21
16,4,6141.57
18,4,6134.15
20,4,6125.98
22,4,6117.1
24,4,6107.56
26,4,6097.41
28,4,6086.7
30,4,6075.47
32,4,6063.79
34,4,6051.71
36,4,6039.3
38,4,6026.6
40,4,6013.7
42,4,6000.64
44,4,5987.49
46,4,5974.32
48,4,5961.19
50,4,5948.17
52,4,5935.31
54,4,5922.69
56,4,5910.35
58,4,5898.36
60,4,5886.78
62,4,5875.67
64,4,5865.06
66,4,5855.03
68,4,5845.61
70,4,5836.85
72,4,5828.79
74,4,5821.47
76,4,5814.92
78,4,5809.17
80,4,5804.26
82,4,5800.2
84,4,5797.02
86,4,5794.72
88,4,5793.32
90,4,5792.82
92,4,5793.24
94,4,5794.56
96,4,5796.77
98,4,5799.88
100,4,5803.85
102,4,5808.68
104,4,5814.34
106,4,5820.81
108,4,5828.05
110,4,5836.02
112,4,5844.7
114,4,5854.03
116,4,5863.98
118,4,5874.49
120,4,5885.52
122,4,5897.01
124,4,5908.91
126,4,5921.15
128,4,5933.69
130,4,5946.46
132,4,5959.39
134,4,5972.43
136,4,5985.5
138,4,5998.56
140,4,6011.53
142,4,6024.34
144,4,6036.94
146,4,6049.27
148,4,6061.26
150,4,6072.85
152,4,6083.99
154,4,6094.62
156,4,6104.69
158,4,6114.15
160,4,6122.95
162,4,6131.04
164,4,6138.39
166,4,6144.96
168,4,6150.72
170,4,6155.64
172,4,6159.68
174,4,6162.85
176,4,6165.1
178,4,6166.45
180,4,6166.87
-180,6,6165
-178,6,6163.89
-176,6,6160.71
-174,6,6155.48
-172,6,6148.22
-170,6,6138.97
-168,6,6127.79
-166,6,6114.72
-164,6,6099.83
-162,6,6083.21
-160,6,6064.94
-158,6,6045.1
-156,6,6023.81
-154,6,6001.17
-152,6,5977.3
-150,6,5952.31
-148,6,5926.33
-146,6,5899.5
-144,6,5871.95
-142,6,5843.81
-140,6,5815.23
-138,6,5786.35
-136,6,5757.3
-134,6,5728.24
-132,6,5699.29
-130,6,5670.62
-128,6,5642.34
-126,6,5614.6
-124,6,5587.54
-122,6,5561.27
-120,6,5535.93
-118,6,5511.63
-116,6,5488.49
-114,6,5466.62
-112,6,5446.12
-110,6,5427.08
-108,6,5409.59
-106,6,5393.73
-104,6,5379.58
-102,6,5367.2
-100,6,5356.64
-98,6,5347.96
-96,6,5341.2
-94,6,5336.38
-92,6,5333.52
-90,6,5332.65
-88,6,5333.76
-86,6,5336.86
-84,6,5341.92
-82,6,5348.92
-80,6,5357.84
-78,6,5368.63
-76,6,5381.25
-74,6,5395.63
-72,6,5411.72
-70,6,5429.43
-68,6,5448.69
-66,6,5469.41
-64,6,5491.5
-62,6,5514.85
-60,6,5539.35
-58,6,5564.89
-56,6,5591.34
-54,6,5618.59
-52,6,5646.51
-50,6,5674.95
-48,6,5703.79
-46,6,5732.89
-44,6,5762.1
-42,6,5791.28
-40,6,5820.29
-38,6,5848.99
-36,6,5877.24
-34,6,5904.89
-32,6,5931.81
-30,6,5957.86
-28,6,5982.91
-26,6,6006.84
-24,6,6029.53
-22,6,6050.85
-20,6,6070.71
-18,6,6088.99
-16,6,6105.61
-14,6,6120.48
-12,6,6133.53
-10,6,6144.68
-8,6,6153.89
-6,6,6161.09
-4,6,6166.26
-2,6,6169.37
0,6,6170.4
2,6,6169.35
4,6,6166.22
6,6,6161.03
8,6,6153.8
10,6,6144.58
12,6,6133.41
14,6,6120.35
16,6,6105.47
18,6,6088.83
20,6,6070.54
22,6,6050.68
24,6,6029.36
26,6,6006.67
28,6,5982.75
30,6,5957.71
32,6,5931.67
34,6,5904.77
36,6,5877.14
38,6,5848.92
40,6,5820.25
42,6,5791.27
44,6,5762.12
46,6,5732.96
48,6,5703.91
50,6,5675.11
52,6,5646.72
54,6,5618.87
56,6,5591.68
58,6,5565.28
60,6,5539.81
62,6,5515.38
64,6,5492.1
66,6,5470.09
68,6,5449.45
70,6,5430.27
72,6,5412.63
74,6,5396.63
76,6,5382.33
78,6,5369.79
80,6,5359.09
82,6,5350.25
84,6,5343.33
86,6,5338.35
88,6,5335.34
90,6,5334.3
92,6,5335.25
94,6,5338.18
96,6,5343.07
98,6,5349.91
100,6,5358.66
102,6,5369.28
104,6,5381.72
106,6,5395.93
108,6,5411.84
110,6,5429.37
112,6,5448.46
114,6,5469
116,6,5490.91
118,6,5514.07
120,6,5538.39
122,6,5563.74
124,6,5590.02
126,6,5617.08
128,6,5644.82
130,6,5673.08
132,6,5701.74
134,6,5730.65
136,6,5759.68
138,6,5788.68
140,6,5817.52
142,6,5846.04
144,6,5874.12
146,6,5901.6
148,6,5928.35
150,6,5954.24
152,6,5979.13
154,6,6002.9
156,6,6025.44
158,6,6046.62
160,6,6066.33
162,6,6084.48
164,6,6100.98
166,6,6115.73
168,6,6128.66
170,6,6139.71
172,6,6148.81
174,6,6155.92
176,6,6161.01
178,6,6164.04
180,6,6165
-180,8,6162.79
-178,8,6160.83
-176,8,6155.21
-174,8,6145.95
-172,8,6133.1
-170,8,6116.74
-168,8,6096.95
-166,8,6073.84
-164,8,6047.53
-162,8,6018.17
-160,8,5985.91
-158,8,5950.93
-156,8,5913.4
-154,8,5873.53
-152,8,5831.53
-150,8,5787.61
-148,8,5742.01
-146,8,5694.96
-144,8,5646.71
-142,8,5597.48
-140,8,5547.55
-138,8,5497.15
-136,8,5446.53
-134,8,5395.95
-132,8,5345.66
-130,8,5295.89
-128,8,5246.89
-126,8,5198.89
-124,8,5152.11
-122,8,5106.78
-120,8,5063.1
-118,8,5021.27
-116,8,4981.49
-114,8,4943.93
-112,8,4908.76
-110,8,4876.13
-108,8,4846.19
-106,8,4819.06
-104,8,4794.87
-102,8,4773.71
-100,8,4755.68
-98,8,4740.86
-96,8,4729.3
-94,8,4721.05
-92,8,4716.15
-90,8,4714.63
-88,8,4716.48
-86,8,4721.69
-84,8,4730.26
-82,8,4742.14
-80,8,4757.28
-78,8,4775.63
-76,8,4797.1
-74,8,4821.6
-72,8,4849.03
-70,8,4879.28
-68,8,4912.21
-66,8,4947.68
-64,8,4985.53
-62,8,5025.6
-60,8,5067.7
-58,8,5111.65
-56,8,5157.25
-54,8,5204.28
-52,8,5252.53
-50,8,5301.77
-48,8,5351.77
-46,8,5402.28
-44,8,5453.06
-42,8,5503.87
-40,8,5554.45
-38,8,5604.55
-36,8,5653.92
-34,8,5702.32
-32,8,5749.49
-30,8,5795.2
-28,8,5839.2
-26,8,5881.28
-24,8,5921.2
-22,8,5958.76
-20,8,5993.77
-18,8,6026.03
-16,8,6055.38
-14,8,6081.65
-12,8,6104.72
-10,8,6124.44
-8,8,6140.72
-6,8,6153.46
-4,8,6162.61
-2,8,6168.1
0,8,6169.92
2,8,6168.04
4,8,6162.48
6,8,6153.28
8,8,6140.47
10,8,6124.14
12,8,6104.37
14,8,6081.26
16,8,6054.94
18,8,6025.55
20,8,5993.25
22,8,5958.22
24,8,5920.63
26,8,5880.69
28,8,5838.61
30,8,5794.6
32,8,5748.9
34,8,5701.74
36,8,5653.37
38,8,5604.02
40,8,5553.95
42,8,5503.41
44,8,5452.66
46,8,5401.93
48,8,5351.49
50,8,5301.56
52,8,5252.4
54,8,5204.24
56,8,5157.3
58,8,5111.8
60,8,5067.95
62,8,5025.96
64,8,4986
66,8,4948.27
68,8,4912.92
70,8,4880.12
72,8,4850
74,8,4822.7
76,8,4798.33
78,8,4776.99
80,8,4758.78
82,8,4743.77
