Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.373647782712288e+00,0.000000000000000e+00,7.314995162451060e-02 2.606614452326886e+00,6.266695500456651e-02 -2.811886795466818e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.338741197672402e+00,0.000000000000000e+00,7.522438441836433e-02 2.613914144061198e+00,6.016107263913040e-02 -2.705343186912147e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.303834612632515e+00,0.000000000000000e+00,7.721096319378705e-02 2.620829892672797e+00,5.758932049347638e-02 -2.589405253899089e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.268928027592628e+00,0.000000000000000e+00,7.910698179760312e-02 2.627406208987709e+00,5.495587414541135e-02 -2.462485583852909e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.234021442552742e+00,0.000000000000000e+00,8.090988360242937e-02 2.633681874794361e+00,5.226522177944016e-02 -2.322636190205302e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.199114857512855e+00,0.000000000000000e+00,8.261725852660859e-02 2.639690894199685e+00,4.952223001602686e-02 -2.167441166256287e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.164208272472969e+00,0.000000000000000e+00,8.422684103086139e-02 2.645463268288291e+00,4.673223643455188e-02 -1.993869673824661e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.129301687433082e+00,0.000000000000000e+00,8.573650885070762e-02 2.651025630688863e+00,4.390118133154706e-02 -1.798071639932499e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.094395102393195e+00,0.000000000000000e+00,8.714428228026967e-02 2.656401772902164e+00,4.103579825066710e-02 -1.575089414151813e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.059488517353309e+00,0.000000000000000e+00,8.844832386508303e-02 2.661613081723460e+00,3.814389436948092e-02 -1.318444236074586e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.024581932313422e+00,0.000000000000000e+00,8.964693839316638e-02 2.666678906189345e+00,3.523477130541024e-02 -1.019533485626838e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.989675347273536e+00,0.000000000000000e+00,9.073857309756692e-02 2.671616867766056e+00,3.231987042718620e-02 -6.667385233171531e-02
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.954768762233649e+00,0.000000000000000e+00,9.172181800197898e-02 2.676443124663569e+00,2.941378545213920e-02 -2.440873050758939e-02
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.919862177193763e+00,0.000000000000000e+00,9.259540635520390e-02 2.681172598986521e+00,2.653588879474869e-02 2.707626410395029e-02
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.884955592153876e+00,0.000000000000000e+00,9.335821511137561e-02 2.685819173756431e+00,2.371299946086163e-02 9.095386619768507e-02
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.850049007113989e+00,0.000000000000000e+00,9.400926542157907e-02 2.690395865541321e+00,2.098381965009397e-02 1.717657281154710e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.815142422074103e+00,0.000000000000000e+00,9.454772310954403e-02 2.694914977422651e+00,1.840626868796507e-02 2.759516456886463e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.780235837034216e+00,0.000000000000000e+00,9.497289910971626e-02 2.699388236248154e+00,1.606894853150989e-02 4.121789705381994e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.745329251994330e+00,0.000000000000000e+00,9.528424985070438e-02 2.703826917517839e+00,1.410582867474270e-02 5.903294366964534e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.710422666954443e+00,0.000000000000000e+00,9.548137757097688e-02 2.708241960790430e+00,1.270311809600974e-02 8.164137849139520e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.675516081914556e+00,0.000000000000000e+00,9.556403055701967e-02 2.712644078154508e+00,1.206560134886011e-02 1.081578291260926e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.640609496874670e+00,0.000000000000000e+00,9.553210329709418e-02 2.717043858063078e+00,1.231583987578326e-02 1.355292150877488e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.605702911834783e+00,0.000000000000000e+00,9.538563654638127e-02 2.721451866668235e+00,1.340309713664147e-02 1.601094627543379e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.570796326794897e+00,0.000000000000000e+00,9.512481730177050e-02 2.725878748706504e+00,1.514370514495427e-02 1.800305176841933e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-1.535889741755010e+00,0.000000000000000e+00,9.474997868696622e-02 2.730335329969682e+00,1.733505728378050e-02 1.953917214938532e+00
