"Freq [MHz]","dB(S(Port,Port)) []"
400,-4.4381978388486
401,-4.58881255573337
402,-4.75522433366343
403,-4.9382299803414
404,-5.13871595828122
405,-5.35767106342834
406,-5.59620094793937
407,-5.85554485311687
408,-6.13709497591684
409,-6.44241894278539
410,-6.77328589022834
411,-7.13169661735743
412,-7.51991811325784
413,-7.94052233934158
414,-8.39642820947462
415,-8.890943766534
416,-9.4278016446289
417,-10.011173147987
418,-10.6456309393795
419,-11.3359999915196
420,-12.0869764390749
421,-12.9022760807322
422,-13.7828487585726
423,-14.7232945796351
424,-15.7050478960822
425,-16.6846739995659
426,-17.5781412641711
427,-18.2527909136315
428,-18.5570424197322
429,-18.4035442602747
430,-17.8366092712867
431,-16.9963355255447
432,-16.0283167391613
433,-15.0337959634944
434,-14.0685463448726
435,-13.1581586688486
436,-12.3115665176288
437,-11.529417703156
438,-10.8085985472047
439,-10.1445248482974
440,-9.53225190513135
441,-8.96698472791065
442,-8.44429025270308
443,-7.96016467243463
444,-7.51103283077898
445,-7.09371807439174
446,-6.70540147644068
447,-6.34357948931904
448,-6.00602410812625
449,-5.69074713680761
450,-5.39596893204713
