Phi[deg],Theta[deg],dB(DirTotal)
-180,0,-6.62762
-178,0,-6.62762
-176,0,-6.62762
-174,0,-6.62762
-172,0,-6.62762
-170,0,-6.62762
-168,0,-6.62762
-166,0,-6.62762
-164,0,-6.62762
-162,0,-6.62762
-160,0,-6.62762
-158,0,-6.62762
-156,0,-6.62762
-154,0,-6.62762
-152,0,-6.62762
-150,0,-6.62762
-148,0,-6.62762
-146,0,-6.62762
-144,0,-6.62762
-142,0,-6.62762
-140,0,-6.62762
-138,0,-6.62762
-136,0,-6.62762
-134,0,-6.62762
-132,0,-6.62762
-130,0,-6.62762
-128,0,-6.62762
-126,0,-6.62762
-124,0,-6.62762
-122,0,-6.62762
-120,0,-6.62762
-118,0,-6.62762
-116,0,-6.62762
-114,0,-6.62762
-112,0,-6.62762
-110,0,-6.62762
-108,0,-6.62762
-106,0,-6.62762
-104,0,-6.62762
-102,0,-6.62762
-100,0,-6.62762
-98,0,-6.62762
-96,0,-6.62762
-94,0,-6.62762
-92,0,-6.62762
-90,0,-6.62762
-88,0,-6.62762
-86,0,-6.62762
-84,0,-6.62762
-82,0,-6.62762
-80,0,-6.62762
-78,0,-6.62762
-76,0,-6.62762
-74,0,-6.62762
-72,0,-6.62762
-70,0,-6.62762
-68,0,-6.62762
-66,0,-6.62762
-64,0,-6.62762
-62,0,-6.62762
-60,0,-6.62762
-58,0,-6.62762
-56,0,-6.62762
-54,0,-6.62762
-52,0,-6.62762
-50,0,-6.62762
-48,0,-6.62762
-46,0,-6.62762
-44,0,-6.62762
-42,0,-6.62762
-40,0,-6.62762
-38,0,-6.62762
-36,0,-6.62762
-34,0,-6.62762
-32,0,-6.62762
-30,0,-6.62762
-28,0,-6.62762
-26,0,-6.62762
-24,0,-6.62762
-22,0,-6.62762
-20,0,-6.62762
-18,0,-6.62762
-16,0,-6.62762
-14,0,-6.62762
-12,0,-6.62762
-10,0,-6.62762
-8,0,-6.62762
-6,0,-6.62762
-4,0,-6.62762
-2,0,-6.62762
0,0,-6.62762
2,0,-6.62762
4,0,-6.62762
6,0,-6.62762
8,0,-6.62762
10,0,-6.62762
12,0,-6.62762
14,0,-6.62762
16,0,-6.62762
18,0,-6.62762
20,0,-6.62762
22,0,-6.62762
24,0,-6.62762
26,0,-6.62762
28,0,-6.62762
30,0,-6.62762
32,0,-6.62762
34,0,-6.62762
36,0,-6.62762
38,0,-6.62762
40,0,-6.62762
42,0,-6.62762
44,0,-6.62762
46,0,-6.62762
48,0,-6.62762
50,0,-6.62762
52,0,-6.62762
54,0,-6.62762
56,0,-6.62762
58,0,-6.62762
60,0,-6.62762
62,0,-6.62762
64,0,-6.62762
66,0,-6.62762
68,0,-6.62762
70,0,-6.62762
72,0,-6.62762
74,0,-6.62762
76,0,-6.62762
78,0,-6.62762
80,0,-6.62762
82,0,-6.62762
84,0,-6.62762
86,0,-6.62762
88,0,-6.62762
90,0,-6.62762
92,0,-6.62762
94,0,-6.62762
96,0,-6.62762
98,0,-6.62762
100,0,-6.62762
102,0,-6.62762
104,0,-6.62762
106,0,-6.62762
108,0,-6.62762
110,0,-6.62762
112,0,-6.62762
114,0,-6.62762
116,0,-6.62762
118,0,-6.62762
120,0,-6.62762
122,0,-6.62762
124,0,-6.62762
126,0,-6.62762
128,0,-6.62762
130,0,-6.62762
132,0,-6.62762
134,0,-6.62762
136,0,-6.62762
138,0,-6.62762
140,0,-6.62762
142,0,-6.62762
144,0,-6.62762
146,0,-6.62762
148,0,-6.62762
150,0,-6.62762
152,0,-6.62762
154,0,-6.62762
156,0,-6.62762
158,0,-6.62762
160,0,-6.62762
162,0,-6.62762
164,0,-6.62762
166,0,-6.62762
168,0,-6.62762
170,0,-6.62762
172,0,-6.62762
174,0,-6.62762
176,0,-6.62762
178,0,-6.62762
180,0,-6.62762
-180,2,-5.96093
-178,2,-5.96143
-176,2,-5.96267
-174,2,-5.96465
-172,2,-5.96738
-170,2,-5.97086
-168,2,-5.97507
-166,2,-5.98003
-164,2,-5.98572
-162,2,-5.99214
-160,2,-5.9993
-158,2,-6.00718
-156,2,-6.01578
-154,2,-6.02509
-152,2,-6.03512
-150,2,-6.04585
