Phi[deg],Theta[deg],dB(DirTotal)
-180,0,0.135441
-178,0,0.135441
-176,0,0.135441
-174,0,0.135441
-172,0,0.135441
-170,0,0.135441
-168,0,0.135441
-166,0,0.135441
-164,0,0.135441
-162,0,0.135441
-160,0,0.135441
-158,0,0.135441
-156,0,0.135441
-154,0,0.135441
-152,0,0.135441
-150,0,0.135441
-148,0,0.135441
-146,0,0.135441
-144,0,0.135441
-142,0,0.135441
-140,0,0.135441
-138,0,0.135441
-136,0,0.135441
-134,0,0.135441
-132,0,0.135441
-130,0,0.135441
-128,0,0.135441
-126,0,0.135441
-124,0,0.135441
-122,0,0.135441
-120,0,0.135441
-118,0,0.135441
-116,0,0.135441
-114,0,0.135441
-112,0,0.135441
-110,0,0.135441
-108,0,0.135441
-106,0,0.135441
-104,0,0.135441
-102,0,0.135441
-100,0,0.135441
-98,0,0.135441
-96,0,0.135441
-94,0,0.135441
-92,0,0.135441
-90,0,0.135441
-88,0,0.135441
-86,0,0.135441
-84,0,0.135441
-82,0,0.135441
-80,0,0.135441
-78,0,0.135441
-76,0,0.135441
-74,0,0.135441
-72,0,0.135441
-70,0,0.135441
-68,0,0.135441
-66,0,0.135441
-64,0,0.135441
-62,0,0.135441
-60,0,0.135441
-58,0,0.135441
-56,0,0.135441
-54,0,0.135441
-52,0,0.135441
-50,0,0.135441
-48,0,0.135441
-46,0,0.135441
-44,0,0.135441
-42,0,0.135441
-40,0,0.135441
-38,0,0.135441
-36,0,0.135441
-34,0,0.135441
-32,0,0.135441
-30,0,0.135441
-28,0,0.135441
-26,0,0.135441
-24,0,0.135441
-22,0,0.135441
-20,0,0.135441
-18,0,0.135441
-16,0,0.135441
-14,0,0.135441
-12,0,0.135441
-10,0,0.135441
-8,0,0.135441
-6,0,0.135441
-4,0,0.135441
-2,0,0.135441
0,0,0.135441
2,0,0.135441
4,0,0.135441
6,0,0.135441
8,0,0.135441
10,0,0.135441
12,0,0.135441
14,0,0.135441
16,0,0.135441
18,0,0.135441
20,0,0.135441
22,0,0.135441
24,0,0.135441
26,0,0.135441
28,0,0.135441
30,0,0.135441
32,0,0.135441
34,0,0.135441
36,0,0.135441
38,0,0.135441
40,0,0.135441
42,0,0.135441
44,0,0.135441
46,0,0.135441
48,0,0.135441
50,0,0.135441
52,0,0.135441
54,0,0.135441
56,0,0.135441
58,0,0.135441
60,0,0.135441
62,0,0.135441
64,0,0.135441
66,0,0.135441
68,0,0.135441
70,0,0.135441
72,0,0.135441
74,0,0.135441
76,0,0.135441
78,0,0.135441
80,0,0.135441
82,0,0.135441
84,0,0.135441
86,0,0.135441
88,0,0.135441
90,0,0.135441
92,0,0.135441
94,0,0.135441
96,0,0.135441
98,0,0.135441
100,0,0.135441
102,0,0.135441
104,0,0.135441
106,0,0.135441
108,0,0.135441
110,0,0.135441
112,0,0.135441
114,0,0.135441
116,0,0.135441
118,0,0.135441
120,0,0.135441
122,0,0.135441
124,0,0.135441
126,0,0.135441
128,0,0.135441
130,0,0.135441
132,0,0.135441
134,0,0.135441
136,0,0.135441
138,0,0.135441
140,0,0.135441
142,0,0.135441
144,0,0.135441
146,0,0.135441
148,0,0.135441
150,0,0.135441
152,0,0.135441
154,0,0.135441
156,0,0.135441
158,0,0.135441
160,0,0.135441
162,0,0.135441
164,0,0.135441
166,0,0.135441
168,0,0.135441
170,0,0.135441
172,0,0.135441
174,0,0.135441
176,0,0.135441
178,0,0.135441
180,0,0.135441
-180,2,-0.248291
-178,2,-0.247859
-176,2,-0.246971
-174,2,-0.245629
-172,2,-0.243833
-170,2,-0.241585
-168,2,-0.238889
-166,2,-0.235747
-164,2,-0.232164
-162,2,-0.228143
-160,2,-0.223689
-158,2,-0.218807
-156,2,-0.213503
-154,2,-0.207784
-152,2,-0.201656
-150,2,-0.195126
-148,2,-0.188203
-146,2,-0.180894
-144,2,-0.173208
-142,2,-0.165154
-140,2,-0.156742
-138,2,-0.147982
-136,2,-0.138884
-134,2,-0.129459
-132,2,-0.119719
-130,2,-0.109674
-128,2,-0.0993379
-126,2,-0.088722
-124,2,-0.0778394
-122,2,-0.066703
-120,2,-0.0553263
-118,2,-0.043723
-116,2,-0.031907
-114,2,-0.0198925
-112,2,-0.00769416
-110,2,0.00467338
-108,2,0.0171952
-106,2,0.029856
-104,2,0.0426406
-102,2,0.0555334
-100,2,0.0685188
-98,2,0.081581
-96,2,0.0947041
-94,2,0.107872
-92,2,0.121069
-90,2,0.134279
-88,2,0.147485
-86,2,0.160672
-84,2,0.173824
-82,2,0.186924
-80,2,0.199956
-78,2,0.212904
-76,2,0.225753
