Phi[deg],Theta[deg],rETotal[mV]
-180,0,4599.91
-178,0,4599.91
-176,0,4599.91
-174,0,4599.91
-172,0,4599.91
-170,0,4599.91
-168,0,4599.91
-166,0,4599.91
-164,0,4599.91
-162,0,4599.91
-160,0,4599.91
-158,0,4599.91
-156,0,4599.91
-154,0,4599.91
-152,0,4599.91
-150,0,4599.91
-148,0,4599.91
-146,0,4599.91
-144,0,4599.91
-142,0,4599.91
-140,0,4599.91
-138,0,4599.91
-136,0,4599.91
-134,0,4599.91
-132,0,4599.91
-130,0,4599.91
-128,0,4599.91
-126,0,4599.91
-124,0,4599.91
-122,0,4599.91
-120,0,4599.91
-118,0,4599.91
-116,0,4599.91
-114,0,4599.91
-112,0,4599.91
-110,0,4599.91
-108,0,4599.91
-106,0,4599.91
-104,0,4599.91
-102,0,4599.91
-100,0,4599.91
-98,0,4599.91
-96,0,4599.91
-94,0,4599.91
-92,0,4599.91
-90,0,4599.91
-88,0,4599.91
-86,0,4599.91
-84,0,4599.91
-82,0,4599.91
-80,0,4599.91
-78,0,4599.91
-76,0,4599.91
-74,0,4599.91
-72,0,4599.91
-70,0,4599.91
-68,0,4599.91
-66,0,4599.91
-64,0,4599.91
-62,0,4599.91
-60,0,4599.91
-58,0,4599.91
-56,0,4599.91
-54,0,4599.91
-52,0,4599.91
-50,0,4599.91
-48,0,4599.91
-46,0,4599.91
-44,0,4599.91
-42,0,4599.91
-40,0,4599.91
-38,0,4599.91
-36,0,4599.91
-34,0,4599.91
-32,0,4599.91
-30,0,4599.91
-28,0,4599.91
-26,0,4599.91
-24,0,4599.91
-22,0,4599.91
-20,0,4599.91
-18,0,4599.91
-16,0,4599.91
-14,0,4599.91
-12,0,4599.91
-10,0,4599.91
-8,0,4599.91
-6,0,4599.91
-4,0,4599.91
-2,0,4599.91
0,0,4599.91
2,0,4599.91
4,0,4599.91
6,0,4599.91
8,0,4599.91
10,0,4599.91
12,0,4599.91
14,0,4599.91
16,0,4599.91
18,0,4599.91
20,0,4599.91
22,0,4599.91
24,0,4599.91
26,0,4599.91
28,0,4599.91
30,0,4599.91
32,0,4599.91
34,0,4599.91
36,0,4599.91
