"Freq [MHz]","dB(S(Port,Port)) []"
400,-2.91800712819972
401,-2.97220245254418
402,-3.03379091071354
403,-3.10330704857918
404,-3.18137293310294
405,-3.26871002033183
406,-3.3661530754978
407,-3.47466655880836
408,-3.59536398219234
409,-3.72953086016483
410,-3.87865203151292
411,-4.04444433135271
412,-4.22889586544389
413,-4.43431351069497
414,-4.66338078344577
415,-4.91922895094592
416,-5.20552532119431
417,-5.52658420431873
418,-5.88750836800492
419,-6.29437234557182
420,-6.75446439462345
421,-7.27661235568309
422,-7.87163185112565
423,-8.5529557123538
424,-9.3375341690736
425,-10.2471363937555
426,-11.3102173838875
427,-12.5644332301826
428,-14.0591764506569
429,-15.8537001201676
430,-17.987605822322
431,-20.3171372422199
432,-21.9694950035479
433,-21.4797401361768
434,-19.400287392103
435,-17.1587774536486
436,-15.223436052833
437,-13.6210597949831
438,-12.2967073199953
439,-11.1954902876517
440,-10.2745656512412
441,-9.50203400650918
442,-8.85426864617912
443,-8.31371790703615
444,-7.86733801859681
445,-7.50548248404575
446,-7.22103651227246
447,-7.00855921871449
448,-6.86309354964032
449,-6.77805454722011
450,-6.7411476880393
