Phi[deg],Theta[deg],rETotal[mV]
34,2,5810
36,2,5808.97
38,2,5807.92
40,2,5806.86
42,2,5805.78
44,2,5804.69
46,2,5803.59
48,2,5802.5
50,2,5801.42
52,2,5800.35
54,2,5799.29
56,2,5798.26
58,2,5797.26
60,2,5796.29
62,2,5795.36
64,2,5794.48
66,2,5793.63
68,2,5792.84
70,2,5792.11
72,2,5791.43
74,2,5790.82
76,2,5790.27
78,2,5789.79
80,2,5789.37
82,2,5789.03
84,2,5788.77
86,2,5788.57
88,2,5788.46
90,2,5788.42
92,2,5788.45
94,2,5788.56
96,2,5788.75
98,2,5789.02
100,2,5789.35
102,2,5789.76
104,2,5790.24
106,2,5790.79
108,2,5791.4
110,2,5792.07
112,2,5792.8
114,2,5793.59
116,2,5794.43
118,2,5795.31
120,2,5796.24
122,2,5797.21
124,2,5798.21
126,2,5799.24
128,2,5800.29
130,2,5801.36
132,2,5802.44
134,2,5803.54
136,2,5804.63
138,2,5805.72
140,2,5806.8
142,2,5807.87
144,2,5808.92
146,2,5809.95
148,2,5810.94
150,2,5811.91
152,2,5812.83
154,2,5813.71
156,2,5814.54
158,2,5815.32
160,2,5816.05
162,2,5816.71
164,2,5817.31
166,2,5817.85
168,2,5818.32
170,2,5818.72
172,2,5819.04
174,2,5819.29
176,2,5819.46
178,2,5819.56
180,2,5819.58
-180,4,5818.61
-178,4,5818.42
-176,4,5817.92
-174,4,5817.12
-172,4,5816.01
-170,4,5814.61
-168,4,5812.91
-166,4,5810.93
-164,4,5808.68
-162,4,5806.17
-160,4,5803.41
-158,4,5800.41
-156,4,5797.19
-154,4,5793.77
-152,4,5790.16
-150,4,5786.37
-148,4,5782.43
-146,4,5778.36
-144,4,5774.17
-142,4,5769.89
-140,4,5765.54
-138,4,5761.14
-136,4,5756.7
-134,4,5752.26
-132,4,5747.83
-130,4,5743.43
-128,4,5739.09
-126,4,5734.83
-124,4,5730.66
-122,4,5726.61
-120,4,5722.7
-118,4,5718.94
-116,4,5715.36
-114,4,5711.96
-112,4,5708.78
-110,4,5705.81
-108,4,5703.09
-106,4,5700.61
-104,4,5698.39
-102,4,5696.45
-100,4,5694.79
-98,4,5693.41
-96,4,5692.33
-94,4,5691.56
-92,4,5691.09
-90,4,5690.92
-88,4,5691.06
-86,4,5691.51
-84,4,5692.27
-82,4,5693.32
-80,4,5694.67
-78,4,5696.32
-76,4,5698.24
-74,4,5700.44
-72,4,5702.9
-70,4,5705.6
-68,4,5708.55
-66,4,5711.72
-64,4,5715.1
-62,4,5718.67
-60,4,5722.42
-58,4,5726.32
-56,4,5730.36
-54,4,5734.52
-52,4,5738.77
-50,4,5743.11
-48,4,5747.5
-46,4,5751.93
-44,4,5756.37
-42,4,5760.8
-40,4,5765.21
-38,4,5769.56
-36,4,5773.85
-34,4,5778.04
-32,4,5782.12
-30,4,5786.07
-28,4,5789.86
-26,4,5793.49
-24,4,5796.93
-22,4,5800.16
-20,4,5803.17
-18,4,5805.95
-16,4,5808.48
-14,4,5810.74
-12,4,5812.74
-10,4,5814.45
-8,4,5815.87
-6,4,5817
-4,4,5817.82
-2,4,5818.34
0,4,5818.55
2,4,5818.45
4,4,5818.04
6,4,5817.32
8,4,5816.3
10,4,5814.98
12,4,5813.37
14,4,5811.48
16,4,5809.31
18,4,5806.88
20,4,5804.2
22,4,5801.29
24,4,5798.15
26,4,5794.8
28,4,5791.27
30,4,5787.56
32,4,5783.69
34,4,5779.7
36,4,5775.58
38,4,5771.37
40,4,5767.09
42,4,5762.75
44,4,5758.38
46,4,5754
48,4,5749.63
50,4,5745.29
52,4,5741.01
54,4,5736.8
56,4,5732.68
58,4,5728.68
60,4,5724.81
62,4,5721.1
64,4,5717.56
66,4,5714.2
68,4,5711.05
70,4,5708.12
72,4,5705.42
74,4,5702.97
76,4,5700.78
78,4,5698.86
80,4,5697.22
82,4,5695.86
84,4,5694.79
86,4,5694.03
88,4,5693.56
90,4,5693.4
92,4,5693.55
94,4,5693.99
